open*,high*,low*,close*,vwap*,timestamp,prediction_step
105331.32,105984.016,105086.836,105734.18,105658.37,2025-07-01 21:49:03,1
105359.36,106102.984,105154.54,105566.98,105722.43,2025-07-01 21:49:03,2
105529.836,106321.945,105271.73,105537.87,105846.07,2025-07-01 21:49:03,3
105505.8,106111.88,105160.49,105563.375,105729.54,2025-07-01 21:49:03,4
105372.21,106143.14,105133.0,105638.82,105903.086,2025-07-01 21:49:03,5
105385.1,106208.57,105142.125,105650.96,106028.9,2025-07-01 21:51:00,1
105456.7,106280.086,105148.69,105676.77,105961.234,2025-07-01 21:51:00,2
105300.984,105688.4,104904.88,105619.53,105860.625,2025-07-01 21:51:00,3
105373.2,106033.48,105194.96,105661.56,105804.24,2025-07-01 21:51:00,4
105323.68,106168.33,105174.125,105619.73,105909.625,2025-07-01 21:51:00,5
105371.11,105828.53,104988.11,105612.46,105669.45,2025-07-01 21:52:00,1
105165.52,105869.94,105286.555,105316.6,105721.43,2025-07-01 21:52:00,2
105381.01,105960.2,105125.92,105594.94,105527.81,2025-07-01 21:52:00,3
105414.96,106096.21,105202.64,105489.01,105811.29,2025-07-01 21:52:00,4
105256.68,106097.75,105226.84,105408.625,105729.59,2025-07-01 21:52:00,5
105394.98,105809.984,105055.54,105491.65,105627.14,2025-07-01 21:53:00,1
105560.52,106037.77,105250.68,105411.7,105786.55,2025-07-01 21:53:00,2
105432.03,106124.734,105118.55,105613.33,105811.445,2025-07-01 21:53:00,3
105451.266,106025.88,105236.766,105404.92,105622.445,2025-07-01 21:53:00,4
105399.1,106036.46,105076.43,105625.195,105832.07,2025-07-01 21:53:00,5
105333.67,105998.58,105067.805,105630.5,105741.06,2025-07-01 21:56:00,1
105533.78,106101.12,105210.29,105503.81,105650.69,2025-07-01 21:56:00,2
105411.4,106039.59,105119.18,105547.85,105870.56,2025-07-01 21:56:00,3
105261.016,105996.086,105068.336,105508.64,105690.195,2025-07-01 21:56:00,4
105423.164,106081.52,105148.22,105600.76,105690.65,2025-07-01 21:56:00,5
105418.375,105977.58,105133.71,105499.766,105680.76,2025-07-01 21:58:00,1
105371.09,105842.57,105134.66,105383.445,105578.66,2025-07-01 21:58:00,2
105269.55,105954.836,105079.14,105584.31,105763.62,2025-07-01 21:58:00,3
105435.64,105920.266,105133.55,105521.84,105575.05,2025-07-01 21:58:00,4
105307.62,106141.2,105086.28,105526.99,105735.34,2025-07-01 21:58:00,5
105509.28,105993.76,105142.445,105511.664,105656.02,2025-07-01 22:04:01,1
105389.13,105962.2,105206.31,105581.914,105757.5,2025-07-01 22:04:01,2
105322.57,105756.07,105099.35,105527.39,105618.41,2025-07-01 22:04:01,3
105453.07,106103.41,105203.164,105520.68,105730.375,2025-07-01 22:04:01,4
105269.87,105798.305,105093.54,105557.78,105702.04,2025-07-01 22:04:01,5
105330.05,106260.09,105081.46,105582.14,105978.7,2025-07-01 22:06:00,1
105438.7,106200.984,105245.625,105577.52,105857.95,2025-07-01 22:06:00,2
105471.21,105836.266,105067.66,105534.58,105668.67,2025-07-01 22:06:00,3
105413.164,106081.01,105209.84,105541.69,105717.21,2025-07-01 22:06:00,4
105548.2,106071.72,105145.53,105550.98,105744.305,2025-07-01 22:06:00,5
105405.73,105938.6,105133.82,105569.74,105639.27,2025-07-01 22:11:00,1
105370.055,106134.15,105070.8,105590.05,105881.21,2025-07-01 22:11:00,2
105506.47,106233.414,105156.4,105580.48,105736.984,2025-07-01 22:11:00,3
105441.92,105978.195,105115.305,105515.89,105778.305,2025-07-01 22:11:00,4
105399.88,105769.26,105053.19,105489.5,105679.83,2025-07-01 22:11:00,5
105197.55,105817.42,105126.58,105520.484,105844.15,2025-07-01 22:12:00,1
105342.05,105858.03,105078.83,105358.65,105635.3,2025-07-01 22:12:00,2
105354.22,105970.3,105202.23,105565.62,105588.1,2025-07-01 22:12:00,3
105282.56,105808.63,105147.9,105441.125,105545.23,2025-07-01 22:12:00,4
105401.53,105978.09,105186.88,105356.086,105746.9,2025-07-01 22:12:00,5
105184.664,105960.96,105122.31,105486.586,105806.47,2025-07-01 22:21:00,1
105364.04,105946.75,105154.48,105484.39,105594.73,2025-07-01 22:21:00,2
105494.48,106020.86,105136.01,105589.0,105630.195,2025-07-01 22:21:00,3
105396.875,105882.74,105060.484,105499.375,105580.77,2025-07-01 22:21:00,4
105365.51,106045.43,105240.87,105588.25,105663.52,2025-07-01 22:21:00,5
105321.69,105880.23,105140.35,105565.48,105646.3,2025-07-01 22:23:00,1
105460.64,105941.47,105089.61,105586.24,105694.94,2025-07-01 22:23:00,2
105399.484,105977.93,105129.414,105535.89,105759.67,2025-07-01 22:23:00,3
105410.92,105945.58,105126.0,105526.29,105580.625,2025-07-01 22:23:00,4
105399.375,105836.63,105155.52,105467.96,105612.2,2025-07-01 22:23:00,5
105423.24,105941.03,105163.734,105448.27,105680.55,2025-07-01 22:28:00,1
105408.805,106117.48,105229.27,105492.79,105649.99,2025-07-01 22:28:00,2
105357.09,106005.01,105151.65,105598.3,105712.67,2025-07-01 22:28:00,3
105517.85,105947.195,105190.484,105473.39,105594.68,2025-07-01 22:28:00,4
105394.11,105999.8,105160.3,105530.13,105591.82,2025-07-01 22:28:00,5
105253.85,105854.4,105036.88,105627.22,105819.99,2025-07-01 22:33:00,1
105521.16,106132.336,105123.836,105611.85,105889.39,2025-07-01 22:33:00,2
105299.39,105968.61,105079.234,105783.875,105844.29,2025-07-01 22:33:00,3
105486.445,106052.02,105071.8,105692.41,105567.36,2025-07-01 22:33:00,4
105531.18,106044.305,105137.27,105630.0,105599.09,2025-07-01 22:33:00,5
