symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ETH/USD,2025-05-31 00:45:00+00:00,2533.7595,2535.2,2528.139,2530.155,0.0,0.0,2534.47975
ETH/USD,2025-05-31 00:50:00+00:00,2528.475,2528.475,2522.563,2522.563,0.0,0.0,2527.3085
ETH/USD,2025-05-31 00:55:00+00:00,2521.429,2521.429,2518.526,2520.71,0.0,0.0,2521.22125
ETH/USD,2025-05-31 01:00:00+00:00,2518.7595,2524.831,2513.0,2514.2,0.0024,2.0,2515.865
ETH/USD,2025-05-31 01:05:00+00:00,2515.8,2524.186,2512.15,2518.4,0.273311075,6.0,2517.46731
ETH/USD,2025-05-31 01:10:00+00:00,2516.912,2525.8805,2515.1295,2522.075,0.0,0.0,2517.77425
ETH/USD,2025-05-31 01:15:00+00:00,2522.5045,2528.9,2522.5045,2525.72,0.0,0.0,2524.97725
ETH/USD,2025-05-31 01:20:00+00:00,2524.2,2524.2,2512.6765,2512.995,0.0012,1.0,2513.353
ETH/USD,2025-05-31 01:25:00+00:00,2512.6,2513.173,2505.8305,2510.2015,10.0012,2.0,2511.999264
ETH/USD,2025-05-31 01:30:00+00:00,2510.946,2514.832,2478.1215,2479.2555,0.00538588,5.0,2500.735694
ETH/USD,2025-05-31 01:35:00+00:00,2480.7625,2502.87,2480.7625,2498.2005,0.0,0.0,2487.8515
ETH/USD,2025-05-31 01:40:00+00:00,2496.7575,2499.42,2492.281,2499.42,0.001476414,1.0,2496.774
ETH/USD,2025-05-31 01:45:00+00:00,2498.02,2498.02,2487.0925,2492.145,0.0,0.0,2496.6935
ETH/USD,2025-05-31 01:50:00+00:00,2493.895,2496.82,2486.8375,2492.115,0.0,0.0,2495.0325
ETH/USD,2025-05-31 01:55:00+00:00,2491.0975,2494.9885,2488.5,2494.9885,0.4975,1.0,2488.5
ETH/USD,2025-05-31 02:00:00+00:00,2492.9925,2498.5045,2486.7105,2486.7105,0.001966897,1.0,2492.23
ETH/USD,2025-05-31 02:05:00+00:00,2488.484,2506.3745,2488.484,2506.3745,0.3,1.0,2505.97
ETH/USD,2025-05-31 02:10:00+00:00,2508.325,2513.445,2508.325,2511.66,0.0,0.0,2509.937
ETH/USD,2025-05-31 02:15:00+00:00,2512.7,2516.79,2512.295,2515.62,0.0,0.0,2514.08975
ETH/USD,2025-05-31 02:20:00+00:00,2516.8,2517.512,2508.52,2508.52,0.0,0.0,2517.156
ETH/USD,2025-05-31 02:25:00+00:00,2510.25,2512.265,2505.1885,2506.24,0.0,0.0,2510.25
ETH/USD,2025-05-31 02:30:00+00:00,2504.79,2504.79,2494.1905,2496.748,0.0,0.0,2502.80275
ETH/USD,2025-05-31 02:35:00+00:00,2498.046,2503.75,2498.046,2503.75,0.0,0.0,2500.0265
ETH/USD,2025-05-31 02:40:00+00:00,2501.6475,2503.67,2499.175,2499.175,0.0,0.0,2501.27875
ETH/USD,2025-05-31 02:45:00+00:00,2500.75,2500.75,2498.765,2499.85,0.0,0.0,2500.75
ETH/USD,2025-05-31 02:50:00+00:00,2500.9025,2503.21,2488.065,2493.6325,0.0,0.0,2501.50325
ETH/USD,2025-05-31 02:55:00+00:00,2492.705,2492.917,2489.0,2491.4925,0.0,0.0,2492.0075
ETH/USD,2025-05-31 03:00:00+00:00,2493.218,2498.73,2491.71,2492.696,0.59925,2.0,2496.807909
ETH/USD,2025-05-31 03:05:00+00:00,2494.228,2497.664,2487.7295,2490.8,0.0,0.0,2494.928
ETH/USD,2025-05-31 03:10:00+00:00,2489.887,2497.059,2489.887,2497.059,0.0,0.0,2491.201
ETH/USD,2025-05-31 03:15:00+00:00,2498.56,2500.557,2489.031,2491.3705,0.0,0.0,2498.56
ETH/USD,2025-05-31 03:20:00+00:00,2493.151,2500.03,2493.151,2497.44,0.0,0.0,2494.2505
ETH/USD,2025-05-31 03:25:00+00:00,2498.422,2505.425,2498.422,2505.235,0.0,0.0,2498.422
ETH/USD,2025-05-31 03:30:00+00:00,2506.625,2507.98,2501.8885,2501.8885,0.077036426,1.0,2507.09
ETH/USD,2025-05-31 03:35:00+00:00,2503.35,2511.483,2503.35,2511.483,0.0,0.0,2504.68075
ETH/USD,2025-05-31 03:40:00+00:00,2510.06,2512.4,2507.3685,2512.4,0.0,0.0,2510.06
ETH/USD,2025-05-31 03:45:00+00:00,2514.258,2515.082,2513.704,2513.704,0.0,0.0,2514.258
ETH/USD,2025-05-31 03:50:00+00:00,2514.255,2517.8,2511.31,2512.4,0.0,0.0,2516.0275
ETH/USD,2025-05-31 03:55:00+00:00,2514.0405,2514.0405,2514.0405,2514.0405,0.0,0.0,2514.0405
ETH/USD,2025-05-31 04:00:00+00:00,2512.31,2512.31,2509.5715,2509.5715,0.0,0.0,2512.31
ETH/USD,2025-05-31 04:05:00+00:00,2511.025,2512.2,2506.104,2506.609,0.211776739,2.0,2509.053704
ETH/USD,2025-05-31 04:10:00+00:00,2508.06,2510.95,2508.06,2510.2205,0.0,0.0,2508.06
ETH/USD,2025-05-31 04:15:00+00:00,2511.97,2512.375,2505.6045,2511.4095,0.038443384,1.0,2511.97
ETH/USD,2025-05-31 04:20:00+00:00,2512.445,2518.735,2512.445,2518.735,0.0,0.0,2514.0185
ETH/USD,2025-05-31 04:25:00+00:00,2519.865,2527.15,2519.865,2520.9,0.00058314,1.0,2525.9
ETH/USD,2025-05-31 04:30:00+00:00,2523.07,2524.0605,2520.825,2524.0605,0.038477109,1.0,2523.07
ETH/USD,2025-05-31 04:35:00+00:00,2522.229,2523.7895,2522.229,2522.535,0.0,0.0,2522.86675
ETH/USD,2025-05-31 04:40:00+00:00,2521.55,2521.55,2520.1605,2520.1605,0.0,0.0,2520.85525
ETH/USD,2025-05-31 04:45:00+00:00,2520.825,2522.79,2520.825,2522.79,0.0,0.0,2520.825
ETH/USD,2025-05-31 04:50:00+00:00,2523.935,2523.935,2522.44,2522.44,0.0,0.0,2523.935
ETH/USD,2025-05-31 04:55:00+00:00,2523.9535,2527.57,2523.9535,2524.745,0.002196851,1.0,2527.57
