timestamp,symbol,open,high,low,close
2025-05-12 18:35:00,BTC/USD,102861.296,102861.296,102791.633,102836.6065
2025-05-12 18:40:00,BTC/USD,102820.1181795253,102825.7431795253,102793.185,102793.185
2025-05-12 18:45:00,BTC/USD,102848.1431795253,102876.1581795254,102848.1431795253,102876.1581795254
2025-05-12 18:50:00,BTC/USD,102868.8431795253,102871.9481795253,102828.8,102871.9481795253
2025-05-12 18:55:00,BTC/USD,102871.3821795253,102871.3821795253,102835.6081795253,102856.2901795253
2025-05-12 19:00:00,BTC/USD,102871.4431795253,102890.5541795253,102871.4431795253,102890.5541795253
2025-05-12 19:05:00,BTC/USD,102889.122,102979.202,102886.0,102952.5045
2025-05-12 19:10:00,BTC/USD,102959.913,102959.913,102959.913,102959.913
2025-05-12 19:15:00,BTC/USD,103018.132,103018.132,103018.132,103018.132
2025-05-12 19:20:00,BTC/USD,103067.959,103106.971,103067.959,103106.971
2025-05-12 19:30:00,BTC/USD,103069.18,103069.18,102958.584,102958.584
2025-05-12 19:35:00,BTC/USD,102909.975,102909.975,102754.97,102815.935
2025-05-12 19:40:00,BTC/USD,102880.1315,102904.906,102841.5,102904.906
2025-05-12 19:45:00,BTC/USD,102887.9535,102903.259,102887.9535,102903.259
2025-05-12 19:50:00,BTC/USD,102853.95,102853.95,102853.95,102853.95
2025-05-12 19:55:00,BTC/USD,102817.555,102841.267,102771.4,102815.965
2025-05-12 20:00:00,BTC/USD,102766.087,102766.087,102632.75,102632.75
2025-05-12 20:05:00,BTC/USD,102678.805,102734.21,102593.6395,102593.6395
2025-05-12 20:15:00,BTC/USD,102548.75,102665.366,102548.75,102610.353
2025-05-12 20:20:00,BTC/USD,102523.05,102555.3985,102474.8065,102555.3985
2025-05-12 20:25:00,BTC/USD,102600.692,102600.692,102430.665,102550.7085
2025-05-12 20:30:00,BTC/USD,102485.831,102559.525,102431.46,102512.7615
2025-05-12 20:35:00,BTC/USD,102420.612,102433.7785,102368.8,102433.7785
2025-05-12 20:40:00,BTC/USD,102378.345,102378.345,102286.258,102286.258
2025-05-12 20:45:00,BTC/USD,102327.505,102432.7,102215.0625,102432.7
2025-05-12 20:50:00,BTC/USD,102382.06,102382.06,102178.6,102321.2305
2025-05-12 20:55:00,BTC/USD,102272.16,102272.16,102272.16,102272.16
2025-05-12 21:00:00,BTC/USD,102364.73,102651.2,102300.3,102603.986
2025-05-12 21:05:00,BTC/USD,102557.75,102557.75,102453.5055,102453.5055
2025-05-12 21:10:00,BTC/USD,102392.925,102596.072,102273.4985,102544.64
2025-05-12 21:15:00,BTC/USD,102595.935,102730.29,102480.353,102623.0675
2025-05-12 21:20:00,BTC/USD,102713.685,102713.685,102589.282,102706.975
2025-05-12 21:25:00,BTC/USD,102641.408,102641.408,102493.317,102493.317
2025-05-12 21:30:00,BTC/USD,102412.795,102549.746,102318.1955,102525.7125
2025-05-12 21:35:00,BTC/USD,102467.2,102503.5245,102219.55,102267.6135
2025-05-12 21:40:00,BTC/USD,102218.314,102275.255,102107.8485,102275.255
2025-05-12 21:45:00,BTC/USD,102321.025,102388.5,102204.405,102388.5
2025-05-12 21:50:00,BTC/USD,102456.872,102456.872,102456.872,102456.872
2025-05-12 21:55:00,BTC/USD,102515.111,102515.111,102405.6995,102405.6995
