symbol,delta_minute,open,high,low,close,volume,trade_count
AAPL,5.0,200.49,200.81,200.45,200.79,340768.0,5474.0
AAPL,5.0,200.7703,201.1,200.7648,201.01,320279.0,5242.0
AAPL,5.0,201.01,201.08,200.94,201.005,205701.0,4142.0
AAPL,5.0,201.01,201.1187,200.84,200.94,285286.0,5254.0
AAPL,5.0,200.954,201.05,200.715,200.92,232728.0,3931.0
AAPL,5.0,200.92,201.11,200.91,201.055,231684.0,3442.0
AAPL,5.0,201.05,201.08,200.97,201.015,183736.0,3382.0
AAPL,5.0,201.03,201.07,200.93,201.04,183149.0,3753.0
AAPL,5.0,201.037,201.1,200.87,201.03,240745.0,4636.0
AAPL,5.0,201.03,201.168,200.845,200.95,211946.0,4075.0
AAPL,5.0,200.95,201.07,200.82,200.935,177403.0,3402.0
AAPL,5.0,200.93,200.98,200.57,200.65,221370.0,3762.0
AAPL,5.0,200.65,200.85,200.6,200.73,166846.0,3103.0
AAPL,5.0,200.72,201.01,200.665,201.01,172178.0,3455.0
AAPL,5.0,201.0,201.0135,200.85,200.8935,138811.0,2862.0
AAPL,5.0,200.9,201.1,200.86,200.9916,226976.0,3965.0
AAPL,5.0,200.99,201.1101,200.96,201.11,194420.0,3680.0
AAPL,5.0,201.1,201.12,200.95,200.97,191433.0,3547.0
AAPL,5.0,200.975,201.1,200.92,201.0265,189219.0,3499.0
AAPL,5.0,201.02,201.12,200.93,201.08,166863.0,3365.0
AAPL,5.0,201.07,201.11,200.86,200.8601,174406.0,3231.0
AAPL,5.0,200.86,201.0036,200.82,200.87,183059.0,3824.0
AAPL,5.0,200.8664,200.8664,200.72,200.83,226149.0,4133.0
AAPL,5.0,200.82,200.825,200.6558,200.705,248202.0,4187.0
AAPL,5.0,200.71,200.8142,200.63,200.66,169016.0,3311.0
AAPL,5.0,200.65,200.745,200.5801,200.72,162442.0,3084.0
AAPL,5.0,200.71,200.92,200.66,200.9,206106.0,3834.0
AAPL,5.0,200.9,201.05,200.79,200.84,296657.0,5219.0
AAPL,5.0,200.85,200.91,200.63,200.76,276631.0,4632.0
AAPL,5.0,200.76,200.97,200.6801,200.93,211830.0,3518.0
AAPL,5.0,200.93,201.29,200.93,201.13,303971.0,4847.0
AAPL,5.0,201.13,201.53,201.0806,201.315,348605.0,5579.0
AAPL,5.0,201.32,201.46,201.2984,201.454,171864.0,3679.0
AAPL,5.0,201.45,201.53,201.33,201.3501,218059.0,3840.0
AAPL,5.0,201.35,201.42,201.29,201.37,191328.0,3250.0
AAPL,5.0,201.38,201.38,201.22,201.27,166286.0,2918.0
AAPL,5.0,201.27,201.295,201.22,201.23,136174.0,2788.0
