symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BTC/USD,2025-06-25 03:00:00+00:00,106592.408,106650.2555,106413.165,106547.015,4.5987e-05,1.0,106592.408
BTC/USD,2025-06-25 03:30:00+00:00,106502.2795,106553.5375,106236.0,106307.0335,0.009189784,3.0,106510.521384
BTC/USD,2025-06-25 04:00:00+00:00,106371.826,106430.092,106140.1,106305.7555,0.013469046,3.0,106159.877278
BTC/USD,2025-06-25 04:30:00+00:00,106234.845,106308.76,106070.445,106291.28,0.0001131,1.0,106308.76
BTC/USD,2025-06-25 05:00:00+00:00,106215.7775,106348.571,106063.9,106217.865,0.000123603,2.0,106187.054244
BTC/USD,2025-06-25 05:30:00+00:00,106260.71,106516.75,106260.71,106289.78,0.000748415,4.0,106398.946022
BTC/USD,2025-06-25 06:00:00+00:00,106342.075,106443.3915,106240.4635,106443.3915,0.0,0.0,106342.075
BTC/USD,2025-06-25 06:30:00+00:00,106512.353,106583.81,106401.46,106457.95,0.017364185,4.0,106541.432103
BTC/USD,2025-06-25 07:00:00+00:00,106515.3,106668.96,106398.355,106668.96,0.000294143,2.0,106524.589701
BTC/USD,2025-06-25 07:30:00+00:00,106601.5,106764.727,106580.2,106651.157,0.006305212,4.0,106658.179358
BTC/USD,2025-06-25 08:00:00+00:00,106722.4,106754.617,106510.97,106525.543,0.000897969,4.0,106731.833446
BTC/USD,2025-06-25 08:30:00+00:00,106484.505,106691.5,106416.085,106691.5,0.00022559,2.0,106577.762369
BTC/USD,2025-06-25 09:00:00+00:00,106749.9,106984.25,106680.41,106936.82,0.001947814,11.0,106903.906951
BTC/USD,2025-06-25 09:30:00+00:00,106989.74,106989.74,106570.719,106668.9,0.000180196,2.0,106810.236216
BTC/USD,2025-06-25 10:00:00+00:00,106736.3,107151.3745,106644.3635,107151.3745,0.001217031,9.0,107012.520464
BTC/USD,2025-06-25 10:30:00+00:00,107143.395,107151.0,106975.435,107112.8315,7.4386e-05,1.0,107151.0
BTC/USD,2025-06-25 11:00:00+00:00,107151.0,107151.0,106961.6605,107016.755,0.000268061,3.0,107084.099796
BTC/USD,2025-06-25 11:30:00+00:00,107099.04,107328.7,107016.755,107255.97,0.758433131,8.0,107151.033015
BTC/USD,2025-06-25 12:00:00+00:00,107314.9,107314.9,106981.965,107044.002,0.011948852,4.0,107181.358085
BTC/USD,2025-06-25 12:30:00+00:00,107111.03,107285.0,107018.37,107253.933,0.00034079,4.0,107217.218601
BTC/USD,2025-06-25 13:00:00+00:00,107253.933,107947.15,107182.3,107871.55,0.047059056,45.0,107470.106767
BTC/USD,2025-06-25 13:30:00+00:00,107852.6,108182.58,107609.2945,108010.7225,0.175214384,19.0,108053.636985
BTC/USD,2025-06-25 14:00:00+00:00,107971.69,108189.085,107307.353,107626.5355,0.024090854,10.0,108041.581242
BTC/USD,2025-06-25 14:30:00+00:00,107669.389,107942.7075,107558.806,107691.495,0.007800711,9.0,107610.651808
BTC/USD,2025-06-25 15:00:00+00:00,107755.6,107755.6,107056.664,107131.165,0.012765428,14.0,107270.805332
BTC/USD,2025-06-25 15:30:00+00:00,107201.6,107294.342,106837.5815,107067.5265,0.011029729,11.0,107108.808204
BTC/USD,2025-06-25 16:00:00+00:00,107129.7175,107567.86,107129.7175,107398.05,0.014814271,9.0,107288.417678
BTC/USD,2025-06-25 16:30:00+00:00,107462.2,107462.2,107071.127,107194.1975,0.002626692,11.0,107240.78958
BTC/USD,2025-06-25 17:00:00+00:00,107114.765,107569.4395,107114.765,107456.624,0.001019268,2.0,107163.936007
BTC/USD,2025-06-25 17:30:00+00:00,107417.101,107506.89,106992.8,107492.265,0.045014734,8.0,107329.51186
BTC/USD,2025-06-25 18:00:00+00:00,107438.0775,107606.7,107373.0,107477.375,0.336351805,2.0,107421.92134
BTC/USD,2025-06-25 18:30:00+00:00,107527.9,107601.4,107239.725,107436.8,0.010901027,5.0,107576.500145
BTC/USD,2025-06-25 19:00:00+00:00,107477.91,107964.495,107477.69,107964.495,0.007477006,9.0,107824.281948
BTC/USD,2025-06-25 19:30:00+00:00,107865.9235,107946.547,107554.879,107780.86,0.254683188,92.0,107760.7418
BTC/USD,2025-06-25 20:00:00+00:00,107743.3275,107829.7,107572.4,107744.065,0.005388195,8.0,107642.939977
BTC/USD,2025-06-25 20:30:00+00:00,107840.11,108005.314,107673.545,107848.055,0.009986966,8.0,107746.359555
BTC/USD,2025-06-25 21:00:00+00:00,107922.7,108145.22,107591.1685,107591.1685,0.054782882,7.0,107652.905155
BTC/USD,2025-06-25 21:30:00+00:00,107670.9,107721.378,107493.3775,107634.8395,0.001235766,10.0,107624.143164
BTC/USD,2025-06-25 22:00:00+00:00,107592.955,107592.955,107391.41,107473.645,6.0851e-05,1.0,107391.41
BTC/USD,2025-06-25 22:30:00+00:00,107406.95,107420.817,107291.474,107359.75,0.000409545,1.0,107388.434
BTC/USD,2025-06-25 23:00:00+00:00,107294.2,107443.285,107218.55,107244.0835,0.001427448,1.0,107294.2
BTC/USD,2025-06-25 23:30:00+00:00,107311.27,107440.83,107193.67,107440.83,6.1102e-05,1.0,107341.1
BTC/USD,2025-06-26 00:00:00+00:00,107496.6575,107641.9,107496.6575,107528.772,6.0949e-05,1.0,107577.8
BTC/USD,2025-06-26 00:30:00+00:00,107476.855,107519.458,107340.4025,107340.4025,0.0,0.0,107476.855
BTC/USD,2025-06-26 01:00:00+00:00,107297.81,107524.6305,107194.294,107524.6305,0.0,0.0,107297.81
BTC/USD,2025-06-26 01:30:00+00:00,107571.861,107957.2885,107378.8325,107661.183,4.5569e-05,1.0,107571.861
